x,y
-1.216552506,0
-1.216552506,0
-1.216552506,0
-1.216552506,0
-1.216552506,0
-1.216552506,0
-1.216552506,0
-1.216552506,1
-1.216552506,0
-1.216552506,0
-1.216552506,0
-1.216552506,0
-1.216552506,0
-1.216552506,1
-1.216552506,0
-1.216552506,1
-1.216552506,0
-1.216552506,1
-1.216552506,1
-1.216552506,1
-1.216552506,0
-1.216552506,0
-1.216552506,1
-1.216552506,1
-1.216552506,0
0,0
0,0
0,1
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,1
1.216552506,0
1.216552506,0
1.216552506,0
1.216552506,0
1.216552506,0
1.216552506,0
1.216552506,0
1.216552506,1
1.216552506,0
1.216552506,0
1.216552506,0
1.216552506,1
1.216552506,0
1.216552506,0
1.216552506,0
1.216552506,0
1.216552506,0
1.216552506,0
1.216552506,0
1.216552506,0
1.216552506,0
1.216552506,0
1.216552506,0
1.216552506,0
1.216552506,0
