,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
169,1248,0.792,0.132,0.179,0.898,0.665,110,0.444,0.79,17,10,38
170,4462,0.812,0.061,0.274,0.896,0.194,281,0.673,0.86,11,9,30
171,3608,0.789,0.094,0.352,0.834,0.581,254,0.646,0.88,10,8,31
172,2628,0.706,0.379,0.158,0.837,0.387,209,0.619,0.75,7,7,28
173,4020,1.469,0.269,0.25,0.906,0.288,306,0.741,0.9,14,9,28
174,3216,1.096,0.299,0.329,0.838,0.376,204,0.752,0.91,10,4,18
175,1448,0.241,0.736,0.023,0.836,0.744,125,0.644,0.81,10,7,28
176,3762,1.222,0.396,0.271,0.932,0.19,227,0.755,0.89,15,8,24
177,3828,0.848,0.268,0.161,0.901,0.301,264,0.703,0.9,11,8,31
178,2651,0.961,0.652,0.1,0.75,0.357,204,0.691,0.88,11,5,27
179,1025,1.165,0.167,0.121,0.931,0.233,71,0.691,0.85,12,10,36
180,409,1.336,0.873,0.005,0.895,0.67,31,0.192,0.58,14,11,25
181,3400,0.767,0.082,0.227,0.813,0.275,222,0.76,0.9,11,8,26
182,2946,0.887,0.038,0.062,0.792,0.432,195,0.567,0.78,8,6,26
183,544,0.931,0.112,0.09,0.901,0.589,49,0.486,0.81,9,9,26
184,472,1.105,0.028,0.352,0.935,0.763,43,0.6,0.89,20,14,46
185,769,1.336,0.069,0.065,0.855,0.626,64,0.673,0.83,14,9,36
186,1176,0.642,0.132,0.089,0.837,0.349,113,0.557,0.84,7,5,32
187,1981,0.182,0.076,0.222,0.936,0.617,162,0.606,0.8,16,9,38
188,382,0.908,0.021,0.38,0.918,0.834,30,0.2,0.8,12,15,41
189,3049,1.049,0.239,0.233,0.8,0.707,228,0.665,0.89,10,5,30
190,2604,0.862,0.202,0.198,0.835,0.617,189,0.682,0.87,10,6,27
191,1093,2.425,0.074,0.508,0.973,0.254,75,0.741,0.9,24,11,44
192,604,0.953,0.157,0.218,0.899,0.277,42,0.387,0.71,15,11,30
193,3902,1.123,0.181,0.461,0.905,0.174,250,0.681,0.9,14,6,29
194,4472,1.004,0.121,0.48,0.913,0.267,274,0.747,0.86,15,8,35
195,3157,0.931,0.611,0.205,0.857,0.29,203,0.619,0.85,16,4,32
196,4072,1.096,0.154,0.485,0.901,0.351,246,0.522,0.81,11,6,33
197,1114,1.208,0.408,0.268,0.918,0.273,97,0.377,0.74,17,8,34
198,344,1.11,0.724,0.064,0.825,0.682,29,0.25,0.79,10,7,32
199,1366,0.773,0.804,0.06,0.818,0.758,111,0.735,0.87,9,8,25
200,1792,0.742,0.531,0.039,0.797,0.655,164,0.625,0.83,11,3,23
201,3587,0.946,0.149,0.285,0.792,0.344,223,0.551,0.81,5,3,17
202,3259,0.862,0.281,0.264,0.753,0.661,226,0.613,0.84,6,3,22
203,3641,0.961,0.101,0.226,0.898,0.219,236,0.649,0.83,11,4,35
204,1787,0.934,0.616,0.191,0.814,0.244,154,0.715,0.92,8,6,23
205,3349,1.387,0.48,0.268,0.84,0.327,244,0.612,0.84,9,10,29
206,2724,0.484,0.285,0.402,0.92,0.334,177,0.727,0.89,18,8,34
207,371,1.11,0.17,0.612,0.967,0.243,34,0.654,0.88,22,10,44
208,559,1.092,0.769,0.05,0.883,0.432,46,0.371,1,11,6,22
209,391,1.058,0.898,0.028,0.872,0.698,31,0.391,0.83,17,10,39
210,402,1.174,0.709,0.087,0.9,0.518,30,0.667,0.81,17,11,38
211,515,0.639,0.804,0.091,0.878,0.309,43,0.533,0.9,15,5,31
212,535,1.247,0.796,0.049,0.859,0.315,30,0.654,0.77,9,4,25
213,507,0.565,0.826,0.049,0.865,0.245,41,0.75,0.88,12,6,23
214,503,1.096,0.857,0.032,0.855,0.506,39,0.759,0.93,16,9,34
215,3161,0.876,0.094,0.266,0.85,0.332,244,0.665,0.85,9,8,29
216,3337,0.931,0.136,0.162,0.822,0.603,286,0.668,0.85,11,6,37
217,613,2.195,0.222,0.093,0.922,0.188,55,0.568,0.84,22,8,44
218,974,0.582,0.164,0.143,0.862,0.567,78,0.467,0.75,14,7,32
219,1016,0.88,0.047,0.334,0.911,0.734,80,0.676,0.82,22,13,40
220,625,1.262,0.109,0.314,0.934,0.41,43,0.514,0.83,19,9,31
221,2308,0.934,0.168,0.07,0.87,0.354,174,0.583,0.82,14,9,34
222,2499,0.98,0.278,0.075,0.843,0.391,180,0.662,0.81,13,8,30
223,2851,1.123,0.364,0.063,0.844,0.485,201,0.658,0.83,16,8,30
224,3848,0.996,0.02,0.061,0.898,0.083,252,0.689,0.89,15,6,35
225,3358,0.984,0.126,0.148,0.875,0.202,248,0.617,0.82,16,6,36
226,761,0.493,0.432,0.042,0.867,0.412,92,0.625,0.86,19,9,38
227,912,0.818,0.016,0.205,0.962,0.071,67,0.679,0.87,25,11,45
228,648,1.123,0.113,0.006,0.822,0.821,60,0.521,0.75,12,7,22
229,435,1.101,0.274,0.002,0.81,0.863,46,0.222,0.78,20,9,43
230,395,0.6,0.299,0.02,0.821,0.809,40,0.242,0.76,15,9,26
231,484,1.096,0.341,0.016,0.788,0.776,46,0.265,0.65,15,8,34
232,458,1.387,0.166,0.013,0.807,0.866,41,0.25,0.53,16,7,24
